PV_ID,NAME,PHOTO_FILE,PHOTO_PRESENT
PV82,"Alocasia Azlanii Albo (Pink)",plants/PV82.jpg,yes
PV21,"Alocasia Bambino Aurea",plants/PV21.jpg,yes
PV113,"Alocasia Bambino Pink Lava",plants/PV113.jpg,yes
PV22,"Alocasia Black Velvet Pink",plants/PV22.jpg,yes
PV23,"Alocasia Black Velvet Gold",plants/PV23.jpg,yes
PV117,"Alocasia Chantrieri Pink",plants/PV117.jpg,yes
PV119,"Alocasia Cuprea Aurea Latte",plants/PV119.jpg,yes
PV120,"Alocasia Cuprea Red Secret Mint",plants/PV120.jpg,yes
PV73,"Alocasia Cuprea Red Secret Super Pink",plants/PV73.jpg,yes
PV15,"Alocasia Dragon Scale Albo",plants/PV15.jpg,yes
PV124,"Alocasia Dragon Scale Tri-Color",plants/PV124.jpg,yes
PV81,"Alocasia Heart Balloon Pink",plants/PV81.jpg,yes
PV132,"Alocasia Loco (Green)",plants/PV132.jpg,yes
PV26,"Alocasia Longiloba Thaicon",plants/PV26.jpg,yes
PV87,"Alocasia Maharani Albo",plants/PV87.jpg,yes
PV89,"Alocasia Melo Albo",plants/PV89.jpg,yes
PV128,"Alocasia Metallic Blue Aurea",plants/PV128.jpg,yes
PV127,"Alocasia Metallic Blue Albo",plants/PV127.jpg,yes
PV32,"Alocasia Nairobi Nights A Grade",plants/PV32.jpg,yes
PV40,"Alocasia Ninja Albo",plants/PV40.jpg,yes
PV79,"Alocasia Nobilis Pink K",plants/PV79.jpg,yes
PV44,"Alocasia Pink Dragon Stardust Mint",plants/PV44.jpg,yes
PV143,"Alocasia Polly Ghost Mint",plants/PV143.jpg,yes
PV19,"Alocasia Polly Pink",plants/PV19.jpg,yes
PV84,"Alocasia Pseudo-Sanderiana Pink",plants/PV84.jpg,yes
PV43,"Alocasia Regal Shields Albo",plants/PV43.jpg,yes
PV146,"Alocasia Sarian Aurea",plants/PV146.jpg,yes
PV80,"Alocasia Scalprum Mint",plants/PV80.jpg,yes
PV148,"Alocasia Sedenii Aurea",plants/PV148.jpg,yes
PV37,"Alocasia Silver Dragon Aurea",plants/PV37.jpg,yes
PV78,"Alocasia Simpo Albo",plants/PV78.jpg,yes
PV74,"Alocasia Stingray Aurea",plants/PV74.jpg,yes
PV151,"Alocasia Venom Pink (High Variegation)",plants/PV151.jpg,yes
PV152,"Alocasia Watsoniana Doff Albo",plants/PV152.jpg,yes
PV77,"Alocasia Watsoniana Doff Pink",plants/PV77.jpg,yes
PV154,"Alocasia Watsoniana Glossy / Pink Shiny",plants/PV154.jpg,yes
PV155,"Alocasia Wentii Aurea Latte",plants/PV155.jpg,yes
PV18,"Alocasia Wentii Pink",plants/PV18.jpg,yes
PV158,"Alocasia Yucatan Princess Pink",plants/PV158.jpg,yes
PV30,"Alocasia Zebrina Mint",plants/PV30.jpg,yes
PV179,"Monstera Deliciosa Banana Super Golden",plants/PV179.jpg,yes
PV180,"Monstera Devil Monster",plants/PV180.jpg,yes
PV181,"Monstera Electro Light",plants/PV181.jpg,yes
PV5,"Monstera Green Snow",plants/PV5.jpg,yes
PV6,"Monstera Legacy",plants/PV6.jpg,yes
PV184,"Monstera Lemon Lime Full Variegation",plants/PV184.jpg,yes
PV10,"Monstera Mint (Full Mint)",plants/PV10.jpg,yes
PV11,"Monstera White Monster",plants/PV11.jpg,yes
PV8,"Monstera Yellow Marilyn",plants/PV8.jpg,yes
PV60,"Philodendron Caramel Marble",plants/PV60.jpg,yes
PV190,"Philodendron Green Lemon",plants/PV190.jpg,yes
PV50,"Philodendron Micans",plants/PV50.jpg,yes
PV193,"Philodendron Narrow",plants/PV193.jpg,yes
PV199,"Philodendron Red Congo",plants/PV199.jpg,yes
PV66,"Philodendron Tortum",plants/PV66.jpg,yes
PV206,"Philodendron Verrucosum Mint",plants/PV206.jpg,yes
PV207,"Philodendron Whipple Way",plants/PV207.jpg,yes
PV13,"Rhaphidophora Tetrasperma Mint",plants/PV13.jpg,yes
PV48,"Philodendron Jose Buono",plants/PV48.jpg,yes
PV14,"Alocasia Dragon Scale Mint",plants/PV14.jpg,yes
PV25,"Alocasia Macrorrhiza Var.",plants/PV25.jpg,yes
